DateTime,AddedIPs,RemovedIPs
1538886498,92,62
1538888167,100,183
1538889247,65,115
1538890813,69,124
1538892618,118,169
1538892846,22,0
1538894108,83,153
1538895366,79,56
1538896446,46,152
1538897707,89,160
1538898967,70,33
1538900046,76,76
1538901476,107,148
1538902566,86,35
1538903707,91,86
1538905214,132,117
1538905328,8,32
1538906562,75,79
1538907907,89,0
1538908928,59,158
1538910846,91,77
1538911695,51,0
1538912527,31,148
1538914207,90,93
1538916127,135,147
1538917506,90,188
1538919008,106,136
1538919727,25,0
1538921188,79,202
1538922487,75,0
1538924449,116,273
1538926097,95,0
1538927766,95,156
1538928853,81,84
1538930413,147,114
1538932446,124,151
1538936047,227,261
1538937727,97,179
1538939107,63,143
1538939647,23,0
1538940494,45,0
1538941333,71,178
1538942676,66,76
1538943253,15,0
1538944812,93,117
1538946307,93,80
1538947506,66,0
1538948534,65,89
1538950208,105,68
1538951707,124,87
1538952912,90,38
1538954888,559,78
1538956213,346,200
1538957647,223,63
1538958487,50,0
1538959808,93,182
1538961008,82,55
1538962813,339,102
1538964847,263,131
1538966138,72,104
1538967588,63,135
1538968446,61,11
1538970033,83,118
1538971808,97,96
1538973613,123,114
1538975108,77,97
1538975647,36,1
1538976789,79,123
1538978167,85,1
1538980088,103,100
1538981423,71,153
1538982615,94,82
1538983695,60,0
1538984527,45,129
1538985810,77,87
1538986447,30,0
1538987714,80,124
1538989354,116,103
1538990046,61,0
1538991729,102,126
1538992566,52,3
1538993646,75,85
1538994763,112,99
1538995327,68,34
1538996167,91,1
1538998095,141,91
1539000053,110,325
1539000846,34,1
1539001970,78,622
1539002526,24,204
1539003907,104,177
1539005101,80,1
1539006126,66,172
1539007807,88,93
1539009008,95,147
1539010507,95,2
1539011707,70,134
1539013207,93,129
1539015014,110,144
1539016086,80,0
1539016935,61,113
1539018308,122,181
1539018847,33,3
1539020199,117,160
1539021306,56,38
1539022506,71,97
1539023707,78,115
1539025144,99,126
1539026046,55,12
1539027306,96,116
1539028506,75,0
1539029708,84,111
1539031327,122,136
1539032167,70,0
1539034094,144,86
1539035459,173,108
1539036847,96,76
1539037687,41,1
1539039906,90,249
1539040447,24,0
1539041290,58,0
1539042127,23,157
1539044047,68,133
1539045727,77,121
1539047114,78,74
1539047645,31,0
1539049327,84,151
1539051248,105,84
1539052939,73,94
1539054311,75,78
1539055832,106,88
1539057308,136,33
1539058516,79,77
1539060015,114,78
1539061507,117,99
1539063034,107,99
1539065320,138,129
1539066487,58,0
1539068157,93,188
1539069316,77,77
1539070927,121,166
1539071775,70,0
1539072855,70,87
1539073689,58,1
1539076453,196,287
1539078123,116,162
1539079523,69,81
