DateTime,AddedIPs,RemovedIPs
1538938338,64,60
1538939309,45,66
1538940273,48,47
1538941212,66,57
1538942178,65,49
1538943132,72,37
1538944105,51,55
1538945067,66,60
1538946072,54,42
1538946988,52,47
1538947935,53,40
1538948893,31,49
1538949881,55,51
1538950812,43,51
1538951779,55,61
1538952733,39,59
1538953721,44,61
1538954652,50,61
1538955622,46,64
1538956571,45,47
1538957545,45,40
1538958493,48,60
1538959737,52,125
1538960918,56,68
1538961873,60,77
1538962826,66,78
1538963800,59,49
1538964735,70,78
1538965709,59,55
1538966662,71,75
1538967631,60,68
1538968591,63,76
1538969541,64,52
1538970496,113,58
1538971469,82,62
1538972409,80,50
1538973387,78,46
1538974358,73,88
1538975298,112,0
1538976257,77,84
1538977215,48,69
1538978174,45,58
1538979145,64,151
1538980100,75,0
1538981061,55,81
1538982018,88,69
1538982994,77,152
1538983943,80,54
1538984899,81,0
1538985857,68,68
1538986819,78,163
1538987791,89,0
1538988737,68,125
1538989698,85,0
1538990662,69,153
1538991612,72,0
1538992578,62,62
1538993539,71,126
1538994498,59,54
1538995473,60,76
1538996479,61,94
1538997395,77,74
1538998344,91,61
1538999293,80,0
1539000280,71,56
1539001222,74,75
1539002190,85,72
1539003133,85,66
1539004223,58,62
1539005286,64,116
1539006274,71,150
1539007226,83,0
1539008177,73,93
1539009139,63,84
1539010097,81,165
1539011081,68,0
1539012010,62,51
1539012971,73,56
1539013936,74,74
1539014945,82,51
1539015852,54,60
1539016811,81,71
1539017790,71,64
1539018733,72,54
1539019689,55,57
1539020673,66,53
1539021619,61,64
1539022586,66,43
1539023539,66,74
1539024514,62,56
1539025717,68,43
1539026688,66,82
1539027610,65,57
1539028576,46,60
1539029535,62,38
1539030506,68,91
1539031462,69,69
1539032422,77,66
1539033421,57,67
1539034340,77,77
1539035297,54,69
1539036266,73,51
1539037215,73,53
1539038191,66,54
1539039162,70,33
1539040096,97,55
1539041062,67,64
1539042011,78,66
1539042996,83,62
1539043943,78,53
1539044893,84,57
1539045855,78,51
1539046843,96,49
1539047780,75,53
1539048740,75,54
1539049696,83,55
1539050664,73,65
1539051616,64,55
1539052595,65,52
1539053532,67,61
1539054505,76,70
1539055454,57,69
1539056419,58,73
1539057373,62,44
1539058352,62,60
1539059302,61,67
1539060263,55,36
1539061234,72,29
1539062191,51,84
1539063136,61,85
1539064120,68,117
1539065306,77,80
1539066261,88,74
1539067213,85,60
1539068188,64,55
1539069135,70,75
1539070104,72,56
1539071053,70,67
1539072272,78,79
1539073217,77,76
1539074189,54,67
1539075132,70,63
1539076117,81,75
1539077055,70,102
1539078018,78,66
1539078973,67,67
1539079944,67,65
