DateTime,Entries,UniqueIPs
1538112495,3058,3058
1538114437,3069,3069
1538116434,3054,3054
1538118263,3061,3061
1538120193,3061,3061
1538122098,3054,3054
1538124024,3044,3044
1538125953,3030,3030
1538127868,3019,3019
1538129799,1603,1603
1538131940,1569,1569
1538133869,2264,2264
1538136059,2245,2245
1538137955,2240,2240
1538139862,2239,2239
1538141783,2244,2244
1538143699,2245,2245
1538145610,2250,2250
1538147539,2253,2253
1538149456,2256,2256
1538151384,2276,2276
1538153293,2289,2289
1538155217,2303,2303
1538157131,2313,2313
1538159052,2319,2319
1538160973,2325,2325
1538162891,2339,2339
1538164846,2338,2338
1538166748,2330,2330
1538168665,2316,2316
1538170582,2308,2308
1538172505,2295,2295
1538174435,2272,2272
1538176350,2871,2871
1538178259,2857,2857
1538180182,2819,2819
1538182094,2798,2798
1538184014,2781,2781
1538185950,2775,2775
1538187856,2778,2778
1538189795,2774,2774
1538191695,2767,2767
1538193635,2761,2761
1538195553,2763,2763
1538197477,2763,2763
1538199394,2769,2769
1538201315,2773,2773
1538203228,2781,2781
1538205147,2778,2778
1538207077,2794,2794
1538208982,2806,2806
1538210897,2799,2799
1538212820,2792,2792
1538214736,2783,2783
1538216653,1409,1409
1538218590,1417,1417
1538220486,1956,1956
1538222459,1978,1978
1538224335,1984,1984
1538226256,1987,1987
1538228180,2003,2003
1538230096,2007,2007
1538232009,2018,2018
1538233933,2018,2018
1538235849,2013,2013
1538237778,2026,2026
1538239701,2047,2047
1538241615,2070,2070
1538243525,2068,2068
1538245452,2071,2071
1538247367,2073,2073
1538249289,2069,2069
1538251463,2065,2065
1538253386,2057,2057
1538255303,2064,2064
1538257211,2080,2080
1538259140,2078,2078
1538261056,2068,2068
1538262978,2545,2545
1538264893,2549,2549
1538266812,2578,2578
1538268732,2601,2601
1538270671,2597,2597
1538272577,2597,2597
1538274494,2598,2598
1538276440,2592,2592
1538278339,2580,2580
1538280160,2566,2566
1538282188,2563,2563
1538284111,2563,2563
1538286012,2582,2582
1538287933,2614,2614
1538289869,2621,2621
1538291785,2608,2608
1538293697,2593,2593
1538295634,2582,2582
1538297547,2580,2580
1538299470,2576,2576
1538301373,2564,2564
1538303317,1405,1405
1538305247,1929,1929
1538307382,1945,1945
1538309314,1953,1953
1538311235,1976,1976
1538313137,2000,2000
1538315057,2024,2024
1538316993,2033,2033
1538318895,2040,2040
1538320831,2048,2048
1538322771,2042,2042
1538324663,2051,2051
1538326589,2048,2048
1538328489,2062,2062
1538330441,2076,2076
1538332352,2087,2087
1538334263,2081,2081
1538336190,2098,2098
1538338122,2123,2123
1538340031,2134,2134
1538341953,2148,2148
1538343852,2150,2150
1538345784,2147,2147
1538347693,2139,2139
1538349635,2604,2604
1538351534,2624,2624
1538353472,2627,2627
1538355370,2635,2635
1538357311,2651,2651
1538359241,2671,2671
1538361163,2674,2674
1538363074,2680,2680
1538364974,2699,2699
1538366913,2710,2710
1538368825,2714,2714
1538370996,2724,2724
1538372902,2730,2730
1538374842,2737,2737
1538376739,2745,2745
1538378664,2744,2744
1538380580,2726,2726
1538382493,2721,2721
1538384472,2722,2722
1538386350,2718,2718
1538388265,1558,1558
1538390193,1576,1576
1538392116,2080,2080
1538394032,2105,2105
1538396233,2086,2086
1538398109,2084,2084
1538400033,2081,2081
1538401933,2077,2077
1538403854,2064,2064
1538405803,2071,2071
1538407939,2097,2097
1538410144,2106,2106
1538412030,2102,2102
1538413936,2125,2125
1538415876,2128,2128
1538417795,2108,2108
1538419716,2113,2113
1538421630,2115,2115
1538423555,2141,2141
1538425464,2166,2166
1538427407,2172,2172
1538429551,2191,2191
1538431479,2195,2195
1538433383,2187,2187
1538435317,2637,2637
1538437225,2634,2634
1538439152,2626,2626
1538441058,2634,2634
1538442989,2622,2622
1538444905,2628,2628
1538446838,2621,2621
1538448732,2624,2624
1538450671,2614,2614
1538452587,2625,2625
1538454512,2626,2626
1538456426,2624,2624
1538458351,2600,2600
1538460253,2609,2609
1538462184,2593,2593
1538464351,2606,2606
1538466258,2615,2615
1538468435,2624,2624
1538470354,2637,2637
1538472269,2635,2635
1538474174,2642,2642
1538476109,1346,1346
1538478040,1952,1952
1538479952,1960,1960
1538482106,1974,1974
1538484012,2000,2000
1538485955,1996,1996
1538487862,1990,1990
1538489803,1988,1988
1538491704,1990,1990
1538493635,1988,1988
1538495556,1988,1988
1538497469,1988,1988
1538499386,1979,1979
1538501313,1987,1987
1538503237,1971,1971
1538505147,1976,1976
1538507065,1973,1973
1538509003,1977,1977
1538510901,1977,1977
1538512831,1980,1980
1538514981,1967,1967
1538516908,1961,1961
1538518833,1945,1945
1538520738,1939,1939
1538522667,2475,2475
1538524590,2457,2457
1538526494,2458,2458
1538528450,2449,2449
1538530341,2443,2443
1538532276,2435,2435
1538534426,2448,2448
1538536332,2462,2462
1538538251,2457,2457
1538540201,2455,2455
1538542240,2459,2459
1538544263,2458,2458
1538546189,2449,2449
1538548113,2459,2459
1538550040,2455,2455
1538551938,2455,2455
1538553863,2455,2455
1538555798,2454,2454
1538557721,2452,2452
1538559632,2453,2453
1538561550,1351,1351
1538563459,1348,1348
1538565402,1873,1873
1538567317,1903,1903
1538569462,1918,1918
1538571371,1916,1916
1538573307,1925,1925
1538575220,1937,1937
1538577152,1959,1959
1538579067,1968,1968
1538580993,1989,1989
1538582953,1994,1994
1538584825,2019,2019
1538586740,2038,2038
1538588671,2072,2072
1538590586,2106,2106
1538592494,2142,2142
1538594656,2177,2177
1538596604,2208,2208
1538598496,2240,2240
1538600432,2221,2221
1538602341,2236,2236
1538604257,2236,2236
1538606189,2238,2238
1538608115,2698,2698
1538610017,2708,2708
1538611937,2711,2711
1538613869,2708,2708
1538616025,2724,2724
1538617932,2734,2734
1538619856,2759,2759
1538621789,2767,2767
1538623691,2774,2774
1538625637,2769,2769
1538627539,2771,2771
1538629603,2780,2780
1538631615,2790,2790
1538633786,2814,2814
1538635695,2832,2832
1538637613,2815,2815
1538639537,2808,2808
1538641457,2818,2818
1538643386,2800,2800
1538645292,2811,2811
1538647245,1677,1677
1538649136,1683,1683
1538651064,2212,2212
1538652982,2234,2234
1538654910,2256,2256
1538657070,2283,2283
1538658981,2298,2298
1538660893,2306,2306
1538662810,2309,2309
1538664732,2312,2312
1538666653,2306,2306
1538668581,2317,2317
1538670491,2309,2309
1538672434,2302,2302
1538674341,2318,2318
1538676271,2321,2321
1538678182,2323,2323
1538680111,2332,2332
1538682015,2346,2346
1538683939,2360,2360
1538685868,2353,2353
1538687784,2364,2364
1538689695,2371,2371
1538691614,2374,2374
1538693538,2369,2369
1538695466,2830,2830
1538697882,2841,2841
1538699769,2843,2843
1538701706,2857,2857
1538703861,2870,2870
1538705792,2877,2877
1538707712,2877,2877
1538709616,2880,2880
1538711541,2892,2892
1538713471,2887,2887
1538715371,2874,2874
1538717308,2872,2872
1538719242,2873,2873
1538721141,2876,2876
1538723072,2882,2882
1538724966,2890,2890
1538726907,2892,2892
1538728812,2886,2886
1538730987,2890,2890
1538732894,2886,2886
1538734824,1450,1450
1538736739,1454,1454
1538738653,2035,2035
1538740577,2054,2054
1538742510,2061,2061
1538744438,2065,2065
1538746343,2048,2048
1538748276,2028,2028
1538750415,2017,2017
1538752337,2036,2036
1538754273,2051,2051
1538756185,2065,2065
1538758336,2071,2071
1538760275,2061,2061
1538762172,2060,2060
1538764108,2042,2042
1538766044,2030,2030
1538767964,2027,2027
1538769864,2026,2026
1538771800,2031,2031
1538773702,2026,2026
1538775636,2030,2030
1538777556,2022,2022
1538779460,2013,2013
1538781391,2547,2547
1538783320,2548,2548
1538785226,2542,2542
1538787152,2539,2539
1538789105,2535,2535
1538791014,2551,2551
1538792920,2567,2567
1538794840,2592,2592
1538796742,2604,2604
1538798663,2620,2620
1538800602,2636,2636
1538802524,2637,2637
1538804561,2620,2620
1538806828,2613,2613
1538808756,2600,2600
1538810654,2604,2604
1538812593,2605,2605
1538814495,2600,2600
1538816435,2588,2588
1538818333,2594,2594
1538820257,1411,1411
1538822201,1397,1397
1538824095,1958,1958
1538826013,1968,1968
1538827938,1983,1983
1538829869,2000,2000
1538831777,1999,1999
1538833951,1995,1995
1538835866,1999,1999
1538837771,2015,2015
1538839689,2007,2007
1538841619,2021,2021
1538843549,2039,2039
1538845458,2064,2064
1538847370,2089,2089
1538849318,2097,2097
1538851212,2106,2106
1538853137,2096,2096
1538855053,2090,2090
1538856981,2089,2089
1538858889,2083,2083
1538860829,2087,2087
1538862734,2078,2078
1538864666,2066,2066
1538866572,2049,2049
1538868488,2535,2535
1538870423,2531,2531
1538872350,2539,2539
1538874252,2534,2534
1538876172,2524,2524
1538878112,2512,2512
1538880017,2503,2503
1538881940,2491,2491
1538883860,2479,2479
1538885795,2475,2475
1538887713,2475,2475
1538889614,2484,2484
1538891535,2476,2476
1538893455,2476,2476
1538895378,2464,2464
1538897291,2452,2452
1538899233,2454,2454
1538901135,2457,2457
1538903056,2472,2472
1538904981,2483,2483
1538906910,1321,1321
1538908811,1323,1323
1538910732,1956,1956
1538912655,1973,1973
1538914585,1983,1983
1538916496,1988,1988
1538918421,1970,1970
1538920351,1953,1953
1538922256,1936,1936
1538924186,1913,1913
1538926090,1904,1904
1538928043,1893,1893
1538929939,1884,1884
1538931863,1875,1875
1538933772,1880,1880
1538935950,1905,1905
1538937855,1919,1919
1538939788,1930,1930
1538941706,1930,1930
1538943616,1951,1951
1538945554,1958,1958
1538947469,1966,1966
1538949370,1979,1979
1538951309,1984,1984
1538953245,2572,2572
1538955154,2582,2582
1538957076,2607,2607
1538959727,2623,2623
1538961869,2608,2608
1538963791,2597,2597
1538965706,2580,2580
1538967629,2549,2549
1538969539,2533,2533
1538971459,2520,2520
1538973385,2510,2510
1538975296,2504,2504
1538977212,2521,2521
1538979143,2533,2533
1538981052,2544,2544
1538982990,2555,2555
1538984895,2571,2571
1538986814,2593,2593
1538988734,2609,2609
1538990658,2622,2622
1538992574,2622,2622
1538994495,1573,1573
1538996475,2046,2046
1538998341,2078,2078
1539000270,2094,2094
1539002186,2118,2118
1539004113,2148,2148
1539006019,2172,2172
1539007931,2188,2188
1539009855,2211,2211
1539011788,2229,2229
1539013691,2243,2243
1539015625,2250,2250
1539017531,2263,2263
1539019456,2259,2259
1539021383,2271,2271
1539023288,2289,2289
1539025241,2311,2311
1539027143,2331,2331
1539029077,2387,2387
1539030979,2414,2414
1539033411,2442,2442
1539035294,2463,2463
1539037212,2481,2481
1539039153,2500,2500
1539041059,2910,2910
1539042987,2931,2931
1539044891,2959,2959
1539046841,2980,2980
1539048738,2992,2992
1539050662,3008,3008
1539052586,3015,3015
1539054502,3026,3026
1539056416,3036,3036
1539058344,3044,3044
1539060260,3049,3049
1539062189,3046,3046
1539064110,3051,3051
1539066259,3073,3073
1539068186,3080,3080
1539070093,3084,3084
1539072267,3106,3106
1539074185,3122,3122
1539076107,3116,3116
1539078014,3112,3112
1539079940,1792,1792
